"filename", "language", "Database", "JSON", "C#", "XML", "Properties", "comment", "blank", "total"
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/.vs/ParkingProject/xs/UserPrefs.xml", "XML", 0, 0, 0, 32, 0, 0, 0, 32
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/.vs/ParkingProject/xs/project-cache/ParkingProject-Debug.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Controllers/CancellationController.cs", "C#", 0, 0, 20, 0, 0, 0, 3, 23
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Controllers/Carwash/CarwashController.cs", "C#", 0, 0, 23, 0, 0, 0, 7, 30
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Controllers/Carwash/ICarwashController.cs", "C#", 0, 0, 8, 0, 0, 0, 1, 9
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Controllers/ICancellationController.cs", "C#", 0, 0, 7, 0, 0, 0, 1, 8
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Controllers/Licenseplate/ILicenseplateController.cs", "C#", 0, 0, 7, 0, 0, 0, 1, 8
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Controllers/Licenseplate/LicenseplateController.cs", "C#", 0, 0, 92, 0, 0, 5, 11, 108
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Controllers/Lot/ILotController.cs", "C#", 0, 0, 10, 0, 0, 0, 1, 11
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Controllers/Lot/ILotInfoController.cs", "C#", 0, 0, 7, 0, 0, 0, 1, 8
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Controllers/Lot/LotController.cs", "C#", 0, 0, 26, 0, 0, 0, 6, 32
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Controllers/Lot/LotInfoController.cs", "C#", 0, 0, 24, 0, 0, 0, 4, 28
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Controllers/Ticket/ITicketController.cs", "C#", 0, 0, 13, 0, 0, 0, 1, 14
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Controllers/Ticket/TicketController.cs", "C#", 0, 0, 45, 0, 0, 0, 9, 54
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Controllers/Vehicle/IVehicleController.cs", "C#", 0, 0, 7, 0, 0, 0, 1, 8
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Controllers/Vehicle/VehicleController.cs", "C#", 0, 0, 51, 0, 0, 1, 7, 59
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Models/Carwash/Carwash.cs", "C#", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Models/Carwash/CarwashNorth.cs", "C#", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Models/Carwash/CarwashSouth.cs", "C#", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Models/Exceptions/ReturnToMain.cs", "C#", 0, 0, 8, 0, 0, 0, 1, 9
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Models/Lot/VehicleLot.cs", "C#", 0, 0, 22, 0, 0, 1, 2, 25
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Models/Ticket/Ticket.cs", "C#", 0, 0, 16, 0, 0, 6, 1, 23
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Models/Vehicle/Vehicles.cs", "C#", 0, 0, 11, 0, 0, 0, 1, 12
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Repository/Carwash/CarwashRepository.cs", "C#", 0, 0, 12, 0, 0, 0, 2, 14
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Repository/Carwash/ICarwashRepository.cs", "C#", 0, 0, 5, 0, 0, 0, 0, 5
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Repository/Licenseplate/ILicenseplateRepository.cs", "C#", 0, 0, 8, 0, 0, 0, 1, 9
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Repository/Licenseplate/LicenseplateRepository.cs", "C#", 0, 0, 20, 0, 0, 0, 5, 25
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Repository/Lot/ILotInfoRepository.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 6
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Repository/Lot/ILotRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 10
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Repository/Lot/LotInfoRepository.cs", "C#", 0, 0, 12, 0, 0, 0, 3, 15
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Repository/Lot/LotRepository.cs", "C#", 0, 0, 28, 0, 0, 0, 6, 34
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Repository/Ticket/ITicketRepository.cs", "C#", 0, 0, 16, 0, 0, 8, 6, 30
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Repository/Ticket/TicketRepository.cs", "C#", 0, 0, 51, 0, 0, 0, 13, 64
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Repository/Vehicle/IVehicleRepository.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 7
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/BLL/Repository/Vehicle/VehicleRepository.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 7
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Carwash/CarwashDAL.cs", "C#", 0, 0, 9, 0, 0, 0, 2, 11
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Carwash/ICarwashDAL.cs", "C#", 0, 0, 5, 0, 0, 0, 2, 7
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Licenseplate/ILicenseplateDAL.cs", "C#", 0, 0, 7, 0, 0, 0, 1, 8
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Licenseplate/LicenseplateDAL.cs", "C#", 0, 0, 21, 0, 0, 0, 1, 22
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Lot/ILotDAL.cs", "C#", 0, 0, 12, 0, 0, 0, 2, 14
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Lot/ILotInfoDAL.cs", "C#", 0, 0, 6, 0, 0, 0, 3, 9
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Lot/LotDAL.cs", "C#", 0, 0, 61, 0, 0, 0, 6, 67
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Lot/LotInfoDAL.cs", "C#", 0, 0, 9, 0, 0, 7, 3, 19
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Ticket/ITicketDAL.cs", "C#", 0, 0, 17, 0, 0, 0, 3, 20
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/DAL/Repository/Ticket/TicketDAL.cs", "C#", 0, 0, 91, 0, 0, 1, 2, 94
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/ParkingDB.db", "Database", 46, 0, 0, 0, 0, 0, 0, 46
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/ParkingProject.csproj", "XML", 0, 0, 0, 15, 0, 1, 0, 16
"/Users/tobiasroy/Documents/Skole/H2/ParkingProject/Program.cs", "C#", 0, 0, 6, 0, 0, 1, 1, 8
